epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2647,3.23774,5.38047,3.23725,0.3575,0.47737,0.38633,0.20767,2.97347,4.17159,3.31266,0.000475716,0.000475716,0.000475716
2,147.974,3.64169,4.71447,3.4896,0.38084,0.51406,0.40919,0.2244,3.00745,3.78326,3.37822,0.000947337,0.000947337,0.000947337
3,207.885,3.61059,4.61578,3.36596,0.4465,0.59821,0.49573,0.27838,2.90197,3.09473,3.03664,0.00141424,0.00141424,0.00141424
4,266.09,3.51456,4.5016,3.34177,0.44669,0.49755,0.48791,0.26041,2.94377,3.04806,3.01864,0.00140778,0.00140778,0.00140778
5,323.966,3.35469,4.23288,3.2554,0.46203,0.61134,0.53555,0.30009,2.60612,2.82248,2.82645,0.00140071,0.00140071,0.00140071
6,380.731,3.24094,4.01719,3.16909,0.55081,0.59883,0.60243,0.37532,2.40249,2.71582,2.80082,0.00139363,0.00139363,0.00139363
7,439.739,3.22704,3.86671,3.17573,0.59824,0.71019,0.68654,0.40187,2.66158,2.44457,2.95553,0.00138656,0.00138656,0.00138656
8,500.921,3.12485,3.66753,3.11071,0.56962,0.67386,0.67806,0.42026,2.35139,2.44826,2.73959,0.00137949,0.00137949,0.00137949
9,560.489,3.08827,3.6327,3.08219,0.62286,0.65483,0.70142,0.45052,2.34237,2.23155,2.73924,0.00137241,0.00137241,0.00137241
10,619.734,2.96237,3.56222,3.02279,0.62058,0.65727,0.70001,0.4722,2.19062,2.13878,2.56732,0.00136534,0.00136534,0.00136534
11,679.891,2.92383,3.33135,2.99942,0.65276,0.77053,0.78813,0.49778,2.27701,1.98336,2.69894,0.00135826,0.00135826,0.00135826
12,737.597,2.92675,3.27858,2.98407,0.70696,0.6555,0.73129,0.508,2.10353,2.05014,2.4665,0.00135119,0.00135119,0.00135119
13,796.729,2.87062,3.27722,2.95495,0.71582,0.69269,0.76552,0.50814,2.13853,1.90861,2.52715,0.00134412,0.00134412,0.00134412
14,856.532,2.83639,3.16391,2.94969,0.69998,0.74041,0.80919,0.56498,2.0654,1.76957,2.52554,0.00133704,0.00133704,0.00133704
15,914.939,2.78983,3.13858,2.9116,0.66256,0.65741,0.73569,0.50279,2.16719,1.93049,2.54795,0.00132997,0.00132997,0.00132997
16,972.864,2.79409,3.08836,2.9227,0.722,0.78031,0.79583,0.56213,1.95838,1.68401,2.45567,0.0013229,0.0013229,0.0013229
17,1034.3,2.76614,3.01487,2.87868,0.76524,0.7258,0.79943,0.57266,2.01025,1.80455,2.46377,0.00131582,0.00131582,0.00131582
18,1094.06,2.7229,2.93226,2.85175,0.69053,0.83093,0.81712,0.56402,1.95959,1.7164,2.41277,0.00130875,0.00130875,0.00130875
19,1154.58,2.77382,2.92743,2.87334,0.74027,0.77007,0.85063,0.6043,1.91195,1.65262,2.39695,0.00130168,0.00130168,0.00130168
20,1214.57,2.70158,2.88546,2.85091,0.78142,0.81153,0.86405,0.60155,2.00458,1.52007,2.4533,0.0012946,0.0012946,0.0012946
21,1271.29,2.70606,2.86197,2.83855,0.78141,0.77436,0.87018,0.62449,1.89509,1.58388,2.36788,0.00128753,0.00128753,0.00128753
22,1332.38,2.68319,2.78181,2.83382,0.77175,0.82104,0.88477,0.61683,1.98063,1.51713,2.40699,0.00128046,0.00128046,0.00128046
23,1391.78,2.62375,2.78739,2.80783,0.80478,0.81447,0.88538,0.65059,1.81951,1.36238,2.32108,0.00127338,0.00127338,0.00127338
24,1449.69,2.64424,2.76453,2.79061,0.77666,0.76192,0.86294,0.61604,1.86218,1.56454,2.37581,0.00126631,0.00126631,0.00126631
25,1512.37,2.59128,2.75912,2.76245,0.86392,0.78446,0.90154,0.65008,1.8401,1.35755,2.3453,0.00125923,0.00125923,0.00125923
26,1572.88,2.62549,2.65117,2.79107,0.79696,0.82562,0.88846,0.65086,1.77719,1.42655,2.27386,0.00125216,0.00125216,0.00125216
27,1633.85,2.60091,2.67073,2.77836,0.76663,0.77152,0.86885,0.65812,1.71196,1.52023,2.23439,0.00124509,0.00124509,0.00124509
28,1692.75,2.55945,2.61797,2.73868,0.82017,0.82873,0.88825,0.65296,1.73515,1.46959,2.21969,0.00123801,0.00123801,0.00123801
29,1754.47,2.53509,2.57861,2.73161,0.83214,0.80767,0.89676,0.66503,1.7496,1.30605,2.28104,0.00123094,0.00123094,0.00123094
30,1814.82,2.55385,2.6366,2.74433,0.84726,0.84375,0.90534,0.65664,1.83114,1.39559,2.31109,0.00122387,0.00122387,0.00122387
31,1873.73,2.53879,2.57219,2.73141,0.82414,0.85625,0.90039,0.66805,1.64136,1.28987,2.17861,0.00121679,0.00121679,0.00121679
32,1932.8,2.51982,2.59435,2.70803,0.83619,0.83665,0.8829,0.6681,1.69346,1.33788,2.20494,0.00120972,0.00120972,0.00120972
33,1992.05,2.52044,2.48291,2.7145,0.87282,0.84064,0.90515,0.66117,1.72414,1.30928,2.21457,0.00120265,0.00120265,0.00120265
34,2050.92,2.52929,2.49779,2.70433,0.76974,0.80984,0.87417,0.66543,1.63344,1.36717,2.16888,0.00119557,0.00119557,0.00119557
35,2110.91,2.48991,2.47415,2.68672,0.79758,0.81953,0.87403,0.65541,1.6675,1.34479,2.18301,0.0011885,0.0011885,0.0011885
36,2172.3,2.45313,2.43459,2.66071,0.84441,0.836,0.91958,0.68289,1.74528,1.26606,2.26732,0.00118143,0.00118143,0.00118143
37,2233.02,2.44245,2.43163,2.66456,0.84852,0.84194,0.91114,0.68559,1.70104,1.30396,2.21434,0.00117435,0.00117435,0.00117435
38,2296.47,2.47166,2.39475,2.68232,0.86304,0.81762,0.89197,0.69018,1.60096,1.26986,2.15574,0.00116728,0.00116728,0.00116728
39,2354.66,2.4427,2.43663,2.67346,0.8691,0.85605,0.91294,0.70357,1.6076,1.18381,2.15187,0.00116021,0.00116021,0.00116021
40,2409.23,2.41253,2.3844,2.64106,0.86492,0.86422,0.91092,0.70607,1.58439,1.10637,2.1195,0.00115313,0.00115313,0.00115313
41,2466.23,2.4588,2.37515,2.6757,0.79169,0.85722,0.88821,0.68122,1.61986,1.28069,2.16836,0.00114606,0.00114606,0.00114606
42,2524.06,2.37835,2.38785,2.65081,0.85098,0.88826,0.93635,0.72038,1.56644,1.10047,2.1448,0.00113898,0.00113898,0.00113898
43,2584.62,2.38143,2.35556,2.6313,0.83297,0.87163,0.92048,0.72265,1.53826,1.19646,2.101,0.00113191,0.00113191,0.00113191
44,2644.29,2.40951,2.30016,2.64324,0.89921,0.8883,0.94495,0.71836,1.61486,1.02734,2.14696,0.00112484,0.00112484,0.00112484
45,2700.8,2.39725,2.28833,2.63266,0.91083,0.87172,0.94501,0.7303,1.58679,1.06351,2.1516,0.00111776,0.00111776,0.00111776
46,2759.74,2.37007,2.30508,2.60733,0.90669,0.8517,0.94122,0.72856,1.60916,1.11237,2.14726,0.00111069,0.00111069,0.00111069
47,2816.58,2.37052,2.31003,2.61528,0.85785,0.8661,0.92247,0.70715,1.65486,1.1995,2.19094,0.00110362,0.00110362,0.00110362
